,index,Name,Preparation time,Cooking time,Serves,Ingredients,Meal,Method,Dietary,id_list,amounts,links
59,60,Cherry Bakewell overnight oats,overnight,no cooking required,1,"{""cherries"": ""50g/1\u00beoz frozen"", ""honey"": ""1 tsp runny  or agave syrup"", ""almonds"": ""small handful chopped"", ""oats"": ""40g/1\u00bdoz porridge  or toasted rolled  (use gluten-free  if required)"", ""almond milk"": ""150ml/5fl oz"", ""almond extract"": ""3 drops  (optional)""}",breakfast,"Put all the ingredients in a jar, stir, put the lid on and store in the fridge overnight. If you prefer your oats warmed, microwave the mixture for 30 seconds to release the aromas and flavours.;",Vegetarian,"[21, '116', 64, '186', '177', '109']","[50, 15, 15, 40, 150, 5]",https://www.bbc.co.uk/food/recipes/cherry_bakewell_98122
60,61,Pumpkin muffins,less than 30 mins,10 to 30 mins,12,"{""vegetable oil"": ""60ml/2fl oz , plus extra for greasing"", ""self-raising flour"": ""180g/6\u00bdoz"", ""wholemeal flour"": ""130g/4\u00bdoz"", ""baking powder"": ""1 tsp"", ""bicarbonate of soda"": ""\u00bd tsp"", ""salt"": ""pinch"", ""rosemary"": ""3 fresh  sprigs, finely chopped"", ""eggs"": ""2 free-range , lightly beaten"", ""yoghurt"": ""100ml/4fl oz plain"", ""milk"": ""275ml/10fl oz"", ""honey"": ""1 tbsp"", ""pumpkin"": ""240g/8\u00bdoz cooked , cut into \u00bdcm/\u00bcin cubes"", ""pumpkin seeds"": ""handful""}",breakfast,"Preheat the oven to 200C/400F/Gas 6. Oil a 12-hole muffin tin and line with 12 squares of baking paper. Push the squares down into each hole so that the paper sticks up.;Sift the flours, baking powder, and bicarbonate of soda into a large bowl. Stir in the salt and rosemary. (Reserve any wholegrain left in the sieve.);Meanwhile in another bowl, mix the eggs, yoghurt, milk, honey and vegetable oil until well combined.;Pour the wet ingredients into the dry and fold the ingredients together, but be careful not to over-work the mixture. Stir in most of the pumpkin, reserving a little for the top of the muffins. Spoon the mixture into the muffin cases.;Sprinkle the reserved wholegrain, pumpkin and the pumpkin seeds over the muffins. Bake in the centre of the oven for 20–25 minutes, or until the muffins are well risen and a skewer inserted in the centre comes out clean. ;",Vegetarian,"['193', '295', 144, '92', '47', '213', '270', '110', '99', '168', '116', '33', '53']","[60, 180, 130, 15, 3, 5, 3, 2, 100, 275, 15, 240, 30]",https://www.bbc.co.uk/food/recipes/pumpkin_and_rosemary_11109
61,62,Easy banana bread,less than 30 mins,30 mins to 1 hour,10,"{""plain flour"": ""285g/10oz"", ""bicarbonate of soda"": ""1 tsp"", ""salt"": ""\u00bd tsp"", ""butter"": ""110g/4oz , plus extra for greasing"", ""caster sugar"": ""225g/8oz"", ""eggs"": ""2 free-range"", ""bananas"": ""4 ripe , mashed"", ""buttermilk"": ""85ml/3fl oz  (or normal milk mixed with 1\u00bd tsp lemon juice or vinegar)"", ""vanilla extract"": ""1 tsp""}",breakfast,"Preheat the oven to 180C/350F/Gas 4.;Sift the flour, bicarbonate of soda and salt into a large mixing bowl.;In a separate bowl, cream the butter and sugar together until light and fluffy.;Add the eggs, mashed bananas, buttermilk and vanilla extract to the butter and sugar mixture and mix well. Fold in the flour mixture.;Grease a 20cm x 12.5cm/8in x 5in loaf tin (2lb) and pour the banana bread mixture into the tin.;Transfer to the oven and bake for about an hour, or until well-risen and golden-brown.;Remove from the oven and cool in the tin for a few minutes, then turn out onto a wire rack to cool completely before serving.;",Vegetarian,"['144', '47', '213', '153', '48', '110', '146', '219', '227']","[285, 15, 3, 110, 225, 2, 4, 85, 15]",https://www.bbc.co.uk/food/recipes/bananabread_85720
62,63,Breakfast bars,less than 30 mins,10 to 30 mins,16,"{""butter"": ""100g/3\u00bdoz"", ""golden syrup"": ""75ml/2\u00bdfl oz"", ""oats"": ""175g/6oz rolled porridge"", ""pumpkin seeds"": ""50g/1\u00beoz"", ""sunflower seeds"": ""50g/1\u00beoz"", ""hazelnuts"": ""50g/1\u00beoz , crushed or roughly chopped"", ""dried apricots"": ""60g/2\u00bcoz , roughly chopped""}",breakfast,"Preheat the oven to 180C/160C Fan/Gas 4, and line a 24x24cm/9x9in baking tin with greaseproof paper.;Heat the butter and golden syrup in a small saucepan over a medium heat until bubbling.;Meanwhile, tip the oats, seeds, nuts and apricots into a large bowl. Pour the hot syrup mixture over the oats and mix well to combine.;Pour into the lined baking tray and press down into an even layer. Bake for 20 minutes, until golden-brown.;Allow to cool for 10 minutes, then turn out and cut into 16 squares. When cold, transfer to an airtight container – they will keep for up to one week.;",Vegetarian,"['153', 0, '186', '53', '266', '83', 113]","[100, 75, 175, 50, 50, 50, 60]",https://www.bbc.co.uk/food/recipes/breakfast_bars_49065
63,64,Berry yoghurt,less than 30 mins,no cooking required,2,"{""mixed berries"": ""175g/6oz frozen , defrosted"", ""yoghurt"": ""340g/12oz fat-free Greek"", ""flaked almonds"": ""10g/\u00bcoz , toasted""}",breakfast,"Spoon the yoghurt into two glasses, top with half the berries, and then repeat the layers.;Sprinkle with the flaked almonds and serve.;",Vegetarian,"['91', '99', '176']","[175, 340, 10]",https://www.bbc.co.uk/food/recipes/berry_yoghurt_95274
64,65,"Bacon, egg and cheese muffins",less than 30 mins,10 to 30 mins,4,"{""bacon"": ""4-6  rashers"", ""eggs"": ""4 free-range"", ""yoghurt"": ""4 tbsp full-fat probiotic  (or ready-made apple sauce)"", ""coconut flour"": ""4 tbsp"", ""Cheddar"": ""40g/1\u00bdoz mature , grated"", ""spring onions"": ""2 , trimmed, finely sliced"", ""kale"": ""small handful , tough stems removed, leaves finely sliced"", ""baking powder"": ""\u00bc tsp"", ""salt"": ""\u00bc tsp"", ""black pepper"": ""large pinch freshly ground""}",breakfast,"Preheat the oven to 190C/170C Fan/Gas 6. Line 4 of the holes of a large muffin tin with baking paper.;Heat a non-stick frying pan over a medium to high heat. Add the bacon in batches and dry-fry until crisp. Allow to cool, then chop into pieces and set aside.;Beat the eggs and the yoghurt together until smooth and aerated, then stir in the remaining ingredients until well combined.;Divide the muffin batter equally among 4 of the holes of the prepared muffin tin, or until the mixture reaches three-quarters of the way up the sides.;Bake for 18-20 minutes, or until the tops of the muffins are golden-brown and a skewer inserted into the centre of the muffins comes out clean.;",,"['191', '110', '99', '288', '76', '194', '104', '92', '213', '89']","[6, 4, 60, 60, 40, 2, 15, 3, 3, 5]",https://www.bbc.co.uk/food/recipes/bacon_egg_and_cheese_08419
65,66,Breakfast burrito,overnight,1 to 2 hours,4,"{""cheddar"": ""60g/2\u00bcoz mature , grated"", ""black pepper"": ""salt and freshly ground"", ""black beans"": ""100g/3\u00bdoz dried , soaked overnight in cold water"", ""onion"": ""1 , halved"", ""chilli"": ""1 large red hot , finely chopped"", ""garlic"": ""2  cloves, finely chopped"", ""lard"": ""45g/1\u00beoz"", ""plain flour"": ""175g/6oz , plus extra for dusting"", ""polenta"": ""35g/1\u00bcoz cornmeal or"", ""baking powder"": ""1 tsp"", ""150ml/5fl oz warm water"": ""None"", ""tomatoes"": ""2 large , flesh finely chopped, juice and seeds drained"", ""sugar"": ""\u00bd tsp caster"", ""lime"": ""\u00bd , juice only"", ""avocados"": ""1\u00bd large , roughly chopped"", ""coriander"": ""2 tsp chopped fresh"", ""olive oil"": ""1\u00bd tsp"", ""sun-dried tomatoes"": ""2 , finely chopped"", ""1 jalape\u00f1o chilli, finely chopped "": ""None"", ""soured cream"": ""100ml/3\u00bdfl oz"", ""chorizo"": ""200g/7oz spicy cooking , roughly chopped"", ""chestnut mushrooms"": ""5 , roughly chopped"", ""chipotle"": ""2\u20133 tbsp  sauce"", ""butter"": ""40g/1\u00bdoz"", ""eggs"": ""4 large free-range""}",breakfast,"To make the refried beans, drain the beans, put them in a saucepan and cover with water. Add the onion halves and ancho chilli and simmer for 45–50 minutes, or until tender. Alternatively, use a pressure cooker and cook for 20 minutes. ;Meanwhile, to make the tortillas, mix the flour, cornmeal, baking powder and ½ teaspoon salt together in a large bowl. Pour in the warm water a little at a time and mix until you have a stiff dough. Knead on a lightly floured surface for 2–3 minutes. Divide into four and shape each piece into a ball. Cover with cling film and leave to stand for 50 minutes. ;To make the salsa, put the tomatoes in a bowl with the sugar, lime juice and a pinch of salt and mix well.;To make the guacamole, put the avocados, chilli and coriander in a bowl and mix well. Stir in the lime juice and oil, season with salt and pepper and mix again. ;To make the soured cream sauce, put the sundried tomato, jalapeño and soured cream in a bowl and mix to a paste.;For the refried beans, drain the cooked beans, reserving the liquid, and mash in the pan with the garlic. Melt the lard in a large frying pan over a medium heat and fry the beans for 4–5 minutes. Mix some of the reserved cooking liquid into the beans to achieve a thick, spreadable consistency. Season to taste.;To make the chorizo filling, heat the oil in a frying pan over a high heat and fry the chorizo for 2–3 minutes. Add the mushrooms and fry until both are cooked. Add enough chipotle sauce to cover the ingredients.;For the tortillas, roll out each dough ball on a lightly floured surface into a tortilla shape. Place a griddle pan over a high heat and, when hot, cook the first tortilla. When one side has blistered, turn it over and cook for 2 minutes more. Cook the remaining tortillas in the same way. Wrap the cooked tortillas in a cloth to keep warm.;Just before serving, make the scrambled eggs by melting the butter in a saucepan over a medium heat. Crack in the eggs and cook, stirring continuously. After 1–2 minutes, when the eggs are still slightly runny, remove from the heat. Season with salt and pepper, then transfer to a serving dish to finish cooking in their own heat.;Serve the scrambled eggs with the warm chorizo, refried beans, soured cream sauce, guacamole, salsa, Cheddar and warm tortillas and let everyone build their own burrito. ;",,"['76', '89', '45', '218', '127', '248', '148', '144', '276', '92', -1, '105', '29', '31', 152, '41', '114', 254, 205, '155', '255', '162', '69', '153', '110']","[60, -1, 100, 1, 1, 2, 45, 175, 35, 15, 2, 3, 1, 2, 30, 8, 2, 100, 200, 5, 45, 40, 4]",https://www.bbc.co.uk/food/recipes/brunch_burrito_57075
66,67,Stress-free full English breakfast,less than 30 mins,10 to 30 mins,1,"{""sausages"": ""2"", ""bacon"": ""2-3 rashers of"", ""mushrooms"": ""2 flat"", ""tomatoes"": ""1-2 ripe"", ""black pudding"": ""1 thick slice of"", ""egg"": ""1 large"", ""bread"": ""1 slice of""}",breakfast,"Heat the flat grill plate over a low heat, on top of 2 rings/flames if it fits, and brush sparingly with light olive oil.;Cook the sausages first. Add the sausages to the hot grill plate/the coolest part if there is one and allow to cook slowly for about 15-20 minutes, turning occasionally, until golden. After the first 10 minutes, increase the heat to medium before beginning to cook the other ingredients. If you are struggling for space, completely cook the sausages and keep hot on a plate in the oven.;Snip a few small cuts into the fatty edge of the bacon. Place the bacon straight on to the grill plate and fry for 2-4 minutes each side or until your preferred crispiness is reached. Like the sausages, the cooked bacon can be kept hot on a plate in the oven.;For the mushrooms, brush away any dirt using a pastry brush and trim the stalk level with the mushroom top. Season with salt and pepper and drizzle over a little olive oil. Place stalk-side up on the grill plate and cook for 1-2 minutes before turning and cooking for a further 3-4 minutes. Avoid moving the mushrooms too much while cooking, as this releases the natural juices, making them soggy.;For the tomatoes, cut the tomatoes across the centre/or in half lengthways if using plum tomatoes , and with a small, sharp knife remove the green 'eye'. Season with salt and pepper and drizzle with a little olive oil. Place cut-side down on the grill plate and cook without moving for 2 minutes. Gently turn over and season again. Cook for a further 2-3 minutes until tender but still holding their shape.;For the black pudding, cut the black pudding into 3-4 slices and remove the skin. Place on the grill plate and cook for 1½-2 minutes each side until slightly crispy.;For 'proper' fried bread it's best to cook it in a separate pan. Ideally, use bread that is a couple of days old. Heat a frying pan to a medium heat and cover the base with oil. Add the bread and cook for 2-3 minutes each side until crispy and golden. If the pan becomes too dry, add a little more oil. For a richer flavour, add a knob of butter after you turn the slice.;For the fried eggs, break the egg straight into the pan with the fried bread and leave for 30 seconds. Add a good knob of butter and lightly splash/baste the egg with the butter when melted. Cook to your preferred stage, season and gently remove with a fish slice.;Once all the ingredients are cooked, serve on warm plates and enjoy straight away with a good squeeze of tomato ketchup or brown sauce.;",,"['81', '191', '37', '105', '137', '110', '157']","[3, 2, 2, 1, 1, 1]",https://www.bbc.co.uk/food/recipes/stressfreefullenglis_67721
67,68,Full Scottish skillet breakfast ,overnight,10 to 30 mins,1,"{""pork mince"": ""500g/1lb 2oz , at least 20% fat (ask your butcher)"", ""beef mince"": ""500g/1lb 2oz , at least 20% fat (ask your butcher)"", ""breadcrumbs"": ""250g/9oz"", ""black pepper"": ""2 tsp ground"", ""coriander"": ""2 tsp ground"", ""nutmeg"": ""2 tsp ground"", ""2 tsp salt "": ""None"", ""floury potatoes"": ""500g/1lb 2oz , such as Maris Pipers, peeled and cut into 5\u20136cm/2\u20132\u00bdin chunks"", ""butter"": ""2 tbsp , softened"", ""plain flour"": ""100g/3\u00bdoz , plus extra for dusting"", ""sausage"": ""1 slice lorne  (see above)"", ""black pudding"": ""1 slice"", ""haggis"": ""1 slice  (shop-bought or homemade)"", ""vegetable oil"": ""1 tbsp"", ""chestnut mushrooms"": ""small handful"", ""1 tattie scone (see above)"": ""None"", ""white bread"": ""1 slice"", ""egg"": ""1 free-range"", ""baked beans"": ""50g/1\u00beoz""}",breakfast,"To make the lorne sausage, place of the ingredients in a bowl and mix well, ensuring all of the spices are evenly distributed. Line a small loaf tin with greaseproof paper or cling film, leaving an overhang. Transfer the meat mixture to the lined tin, pressing down so it is tightly packed. Wrap the overhanging paper or cling film over the top to cover and chill in the fridge for at least 2–3 hours, or preferably overnight. Using a sharp knife, cut the block into 3cm/1¼in slices.;To make the tattie scones, cook the potatoes in a saucepan of boiling salted water for about 10 minutes or until cooked through. Drain and leave to cool for around 5 minutes until slightly fluffy. Put the potatoes through a ricer and mash until soft. Mash in the butter, then add the salt and sift in the flour. Mix well until everything is combined to a dough mixture. Leave to cool completely, then transfer to a bowl, cover and chill in the fridge for 1 hour. Dust some flour over a large chopping board and use a rolling pin to roll out the potato mixture to a large rectangle with a depth of 1cm/½in. Cut into squares, then halve the squares into triangles (there should be 10–12 tattie scones). Gently place the triangles back onto the board, cover and place back in the fridge for roughly 1 hour to firm up. ;To serve, place a large skillet over a medium heat. Add the lorne sausage to one side of the skillet and fry for about 2 minutes on each side. Add the black pudding and haggis and fry for about 2 minutes on each side until cooked through. Heat the oil in the skillet and add the mushrooms and tattie scone. Season with some salt. Cook the scone on both sides until golden brown. Heat some oil in a separate frying pan and shallow fry the bread on both sides until golden. Once everything is cooked in the skillet, push all of the ingredients neatly to one side to create room for the egg. Add the egg and fry sunny-side up. Heat up the baked beans separately in the microwave or in a small saucepan. ;Serve the breakfast immediately with the fried bread and beans on the side. Use the leftover lorne sausage and scones as described in the tips. ;",,"['224', '287', '84', '89', '41', '75', 213, '216', '153', '144', '81', '137', '249', '193', '162', 296, '73', '110', '156']","[500, 500, 250, 30, 30, 30, 500, 30, 100, 1, 1, 1, 15, 15, 1, 1, 50]",https://www.bbc.co.uk/food/recipes/full_scottish_skillet_03331
68,69,Bauernfruhstuck (farmer’s breakfast),less than 30 mins,10 to 30 mins,6,"{""bacon"": ""6 slices , any variety"", ""butter"": ""1 tbsp"", ""onion"": ""1 , chopped"", ""potatoes"": ""4 , cooked and diced"", ""eggs"": ""6 free-range"", ""milk"": ""60ml/4 tbsp"", ""black pepper"": ""salt and freshly ground""}",breakfast,"In a large frying pan, fry the bacon until crisp. Remove and drain on kitchen paper, then chop into small pieces.;Pour off the bacon fat from the pan, add the butter and fry the onion until soft.;Add the cooked potatoes and fry until lightly browned.;Crack the eggs into a bowl, lightly beat, then add the milk, salt, a good grinding of pepper and the chopped bacon. Pour the egg mixture over the onions and potatoes and cook, stirring occasionally, until the eggs are done to your liking.;",,"['191', '153', '218', '282', '110', '168', '89']","[6, 15, 1, 4, 6, 60, -1]",https://www.bbc.co.uk/food/recipes/bauernfruhstuck_farmers_85796
69,70,Breakfast bake ,less than 30 mins,10 to 30 mins,2,"{""low-calorie cooking spray"": ""None"", ""red onion"": ""1 , roughly chopped"", ""Portobello mushrooms"": ""250g/9oz mini  or chestnut mushrooms, roughly sliced or halved"", ""sausages"": ""4 reduced-fat , cut in half"", ""cherry tomatoes"": ""8 , halved"", ""baked beans"": ""200g tin reduced sugar and salt"", ""eggs"": ""2 large free-range"", ""parsley"": ""finely chopped flatleaf , to garnish (optional)"", ""black pepper"": ""salt and freshly ground""}",breakfast,"Preheat the oven to 220C/200C Fan/Gas 7. ;Lightly spray a 23cm/9in ovenproof frying pan with low calorie cooking spray. Add the onion and mushrooms, season and toss to mix well.;Spread in an even layer with the sausages. Lightly spray with the cooking spray and bake for 10 minutes.;Remove from the oven, scatter over the cherry tomatoes and spoon the beans over evenly. Return to the oven for another 5 minutes.;Make two wells in the mixture, evenly spaced, and carefully crack an egg into each one.;Return the frying pan to the oven and cook for another 6–8 minutes, or until the eggs are cooked to your liking. Season with salt and pepper, scatter over the parsley and serve immediately.;",,"['-1', '256', 44, '81', '188', '156', '110', '289', '89']","[1, 250, 4, 8, 200, 2, 10, -1]",https://www.bbc.co.uk/food/recipes/low-cal_breakfast_bake_67023
70,71,One-pan all-day breakfast,less than 30 mins,30 mins to 1 hour,4,"{""olive oil"": ""1 tbsp light"", ""sausage"": ""8 x 10% fat pork , cut into chunks"", ""spring onions"": ""6 , finely chopped"", ""mushrooms"": ""200g/7oz , thinly sliced"", ""garlic"": ""2  cloves, crushed"", ""cherry tomatoes"": ""400g/14oz , halved"", ""baked beans"": ""400g tin"", ""eggs"": ""4 large free-range"", ""paprika"": ""\u00bc tsp sweet smoked"", ""40g/1\u00bdoz feta"": ""None"", ""parsley"": ""2 tbsp finely chopped flat leaf , to garnish""}",breakfast,"Heat the oil in a large, wide frying pan. Brown the sausages for 2–3 minutes, then remove from the pan and set aside. ;Add the spring onions and mushrooms to the pan and cook over a medium heat for 3–4 minutes, or until softened. Add the garlic and fry for 1 minute. Add the tomatoes, beans and sausages and simmer for 20 minutes or until the sausages are cooked through. ;Make four wells in the mixture and crack the eggs into them. Cover the pan and steam for 6–8 minutes, or until the whites are set or cooked to your liking.;Sprinkle a little paprika over each egg, crumble over the feta and spoon into bowls. Garnish with the parsley and serve immediately.;",,"['114', '81', '194', '37', '248', '188', '156', '110', '147', 273, '289']","[15, 8, 6, 200, 2, 400, 400, 4, 3, 30]",https://www.bbc.co.uk/food/recipes/one_pan_breakfast_bowl_47359
71,72,Vegan fried breakfast,overnight,over 2 hours,4,"{""mushrooms"": ""Handful dried porcini  (optional)"", ""230g/8oz vital wheat gluten"": ""None"", ""nutritional yeast"": ""1 tbsp  flakes"", ""plain flour"": ""2 tbsp"", ""sage"": ""\u00bd tbsp dried"", ""thyme"": ""4  sprigs, leaves picked"", ""white pepper"": ""pinch ground"", ""nutmeg"": ""pinch ground"", ""allspice"": ""pinch ground"", ""garlic"": ""\u00bd tsp  powder"", ""1 tsp salt"": ""None"", ""mushroom"": ""320ml/11fl oz  stock (from above or from a  stock cube)"", ""2 tbsp vegan Worcester sauce"": ""None"", ""vinegar"": ""2 tbsp cider"", ""tomato pur\u00e9e"": ""1 tbsp"", ""olive oil"": """", ""new potatoes"": ""12 small"", ""margarine"": ""75g/2\u00bdoz soft dairy-free"", ""lemon juice"": ""fresh , to taste"", ""Portobello mushrooms"": ""4"", ""red onion"": ""\u00bd , finely sliced"", ""passata"": ""500g/1lb 2oz tomato"", ""balsamic vinegar"": ""1 tbsp"", ""paprika"": ""2 tbsp sweet smoked"", ""bay leaf"": ""1"", ""brown sugar"": ""2 tbsp"", ""haricot beans"": ""400g tin"", ""coconut oil"": ""2 tbsp olive oil or"", ""broccoli"": ""4  florets, finely chopped"", ""tofu"": ""225g/8oz extra-firm"", ""turmeric"": ""\u00bd tsp ground"", ""chilli"": ""\u00bd tsp  flakes, or to taste"", ""smoked paprika"": ""\u00bc tsp"", ""black pepper"": ""salt and freshly ground""}",breakfast,"If you are making mushroom stock from porcini mushrooms, steep the dried mushrooms in 350ml/12fl oz boiling water until the water is cool, then strain and set aside. Alternatively, make the stock using a mushroom stock cube. ;To make the sausages, mix all the dry ingredients together in a bowl. Add the wet ingredients and knead for 5 minutes, or until you have a firm dough. Divide the mixture into two equal portions and form each one into a 20cm/8in log. Lay out a sheet of cling film and place a log in the centre. Roll the cling film around the log, push out any trapped air and twist the ends to tighten it. This is best done by holding the cling film ends and rolling the log along the work surface a few times until the cling film is drum-skin tight. Wrap it neatly in kitchen foil. Repeat with the second portion.;Place the wrapped sausages in a large saucepan of water and bring it to a low simmer. Poach for 1 hour, or until they feel very firm when squeezed. Remove from the water and leave to cool, then refrigerate overnight. Don’t remove the wrapping until they are completely chilled or they will expand and lose their shape. ;To make the potato 'cakes', preheat the oven to 200C/Fan 180C/Gas 6. Line a roasting tray with baking paper, brush it liberally with oil and scatter over salt. Boil the potatoes in salted water for 10–12 minutes, or until just tender. Drain well. Put the potatoes in the prepared tray and press each one down so it flattens. Brush with plenty of oil and season with salt. Roast for 25 minutes, then scatter over some thyme leaves and grind over pepper. Roast for a further 10 minutes, or until golden and crisp. ;Meanwhile, to make the garlic mushrooms, grease a roasting tray with oil. Mix the garlic with the dairy-free margarine and a good squeeze of lemon juice in a bowl. Arrange the mushrooms stalk side-up in the tray. Divide the mixture between the mushrooms and smear it into the gills, then season. Roast for 20 minutes.;To make the smoky baked beans, heat a little oil in a saucepan and fry the onion over a medium–low heat for 10 minutes, until starting to soften. Add the tomato purée, passata, vinegar, paprika, bay leaf and sugar and season. Bring to a simmer and cook gently for 10 minutes. Stir in the haricot beans and cook for a further 10 minutes, until thickened. ;To make the scrambled tofu, heat the oil in a frying pan. Fry the onion and broccoli over a medium–low heat for 2–3 minutes, until cooked but with a little crunch. Crumble the tofu into the pan and stir well. Add half a teaspoon of salt, the spices and a splash of water if it looks too thick or dry. Cook for 2 minutes. ;Slice one of the sausages and cook gently in a frying pan (reserve the other for another day). Serve everything together.;",Vegetarian,"['37', -1, 198, '144', '124', '229', '149', '75', '115', '248', 213, '37', 20, '217', '138', '114', '88', '265', '170', '44', '256', '120', '182', '147', '71', '19', '5', '261', '178', '108', '299', '127', '57', '89']","[30, 15, 30, 8, 4, 5, 5, 5, 3, 320, 30, 15, -1, 12, 75, -1, 1, 500, 15, 30, 30, 400, 30, 4, 225, 3, 3, 3, -1]",https://www.bbc.co.uk/food/recipes/vegan_fried_breakfast_34182
72,73,One-pan veggie English breakfast ,less than 30 mins,30 mins to 1 hour,2,"{""1 large baking potato "": ""None"", ""butter"": ""30g/1oz unsalted"", ""chestnut mushrooms"": ""225g/8oz , quartered"", ""cherry tomatoes"": ""150g/5\u00bdoz , halved"", ""eggs"": ""4 large free-range"", ""black pepper"": ""sea salt and freshly ground"", ""parsley"": ""small handful fresh flatleaf , roughly chopped, to garnish"", ""chilli sauce"": ""hot , to serve (optional)""}",breakfast,"Preheat the oven to 220C/200C Fan/Gas 7. Grate the potato (don’t bother peeling it) on the largest hole of your box grater. Place in a large sieve and rinse under the cold tap until the liquid runs clear. Set aside to drain.;Heat half the butter in a large, shallow ovenproof casserole over a medium–high heat. Gently fry the mushrooms for 5 minutes, or until just cooked. Remove from the pan with a slotted spoon and set aside.;Melt the remaining butter in the pan. Once it has started to froth, add the potato and lots of salt and pepper. Cook for about 10 minutes, or until all the liquid has evaporated and the potato is starting to colour. Spread the potato in an even layer in the casserole and place in the oven for 10 minutes.;Scatter the tomatoes over the potato, then return to the oven for 5 minutes.;Remove the pan from the oven and sprinkle over the mushrooms. Make four shallow wells in the potato mixture and crack in the eggs. Return to the oven for 6–8 minutes, or until the egg whites are just set and the yolks are still runny.;Garnish with the parsley and serve with chilli sauce if you like. ;",Vegetarian,"[88, '153', '162', '188', '110', '89', '289', '223']","[30, 225, 150, 4, -1, 15, -1]",https://www.bbc.co.uk/food/recipes/one-pan_veggie_english_31012
73,74,The ultimate vegan breakfast,less than 30 mins,30 mins to 1 hour,4,"{""potatoes"": ""450g/1lb , cut into small chunks"", ""tomatoes"": ""4 , halved"", ""rosemary"": ""3 sprigs fresh , leaves finely chopped"", ""olive oil"": ""1 tbsp"", ""garlic"": ""2  cloves, finely chopped"", ""chestnut mushrooms"": ""300g/10\u00bdoz"", ""8 vegan sausages"": ""None"", ""baked beans"": ""400g tin"", ""spinach"": ""150g/5\u00bdoz baby  leaves"", ""salt and pepper"": ""None""}",breakfast,"Preheat the oven to 220C/200C Fan/Gas 7.;Put the potatoes and tomatoes on a large baking tray. Sprinkle over the rosemary, a pinch of salt and pepper and a drizzle of olive oil. Bake for 15 minutes. ;Put the garlic in a mixing bowl, add the mushrooms and a drizzle of olive oil and stir to mix. ;Add the mushrooms and sausages to the baking tray and roast for 20 minutes.;Add the beans and spinach to the baking tray with the potatoes and roast for a final 5 minutes.;",Vegetarian,"['282', '105', '270', '114', '248', '162', 81, '156', '72', '87']","[450, 4, 33, 15, 2, 300, 400, 150]",https://www.bbc.co.uk/food/recipes/the_ultimate_vegan_12214
74,75,Easy breakfast wrap,less than 30 mins,less than 10 mins,1,"{""pepper"": ""45g/1\u00bdoz  (about half a ), sliced"", ""mushrooms"": ""2 , sliced"", ""spinach"": ""80g/2\u00beoz"", ""paprika"": ""pinch ground"", ""eggs"": ""2 free-range"", ""black pepper"": ""freshly ground"", ""parsley"": ""1 tsp freshly chopped"", ""1 tortilla wrap"": ""None""}",breakfast,"Heat a non-stick frying pan and add the peppers and mushrooms, fry for a few minutes until softened, then add the spinach and paprika. (If your pan tends to stick you will need to use a little oil or cooking spray.);Crack in the eggs and cook to allow the eggs scramble with the vegetables all in the one pan. Add plenty of black pepper and the parsley.;Place the tortilla on a microwave-safe plate and heat on high for 10 seconds.;To serve, spoon the egg and vegetable mixture onto the tortilla, fold up one end, then fold in the sides. ;",Vegetarian,"['118', '37', '72', '147', '110', '89', '289', 207]","[45, 2, 80, 5, 2, -1, 15]",https://www.bbc.co.uk/food/recipes/easy_breakfast_wrap_51903
75,76,Breakfast hash,less than 30 mins,less than 10 mins,2,"{""oil"": ""2 tbsp groundnut"", ""butter"": ""50g/1\u00beoz"", ""sausages"": ""3 herby , skinned"", ""onion"": ""1 , sliced"", ""potato"": ""\u00bd large , including skin"", ""eggs"": ""2 free-range""}",breakfast,"Heat the oil in a large pan. Add the butter and skinned sausages and cook for a few minutes, stirring to ensure all the meat browns.;Add the onion to the pan.;Grate the potato including the skin and squeeze over the sink to remove any moisture. ;Add the potato to the pan. ;When the pan ingredients are cooked, crack the eggs into the pan and cook until the egg whites are set but the yolks are still runny. Serve.;",,"['297', '153', '81', '218', '216', '110']","[30, 50, 3, 1, 1, 2]",https://www.bbc.co.uk/food/recipes/breakfast_hash_02520
